State,County,FOODINSEC_09_11,FOODINSEC_12_14,FOODINSEC_15_17,CH_FOODINSEC_11_14,CH_FOODINSEC_14_17,Model_answer,FOODINSEC_08_10,FOODINSEC_11_13,FOODINSEC_14_16,FOODINSEC_17_19
AL,Autauga,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Baldwin,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Barbour,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Bibb,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Blount,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Bullock,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Butler,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Calhoun,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Chambers,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Cherokee,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Chilton,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Choctaw,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Clarke,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Clay,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Cleburne,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Coffee,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Colbert,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Conecuh,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Coosa,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Covington,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Crenshaw,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Cullman,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Dale,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Dallas,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,DeKalb,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Elmore,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Escambia,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Etowah,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Fayette,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Franklin,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Geneva,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Greene,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Hale,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Henry,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Houston,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Jackson,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Jefferson,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Lamar,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Lauderdale,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Lawrence,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Lee,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Limestone,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Lowndes,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Macon,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Madison,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Marengo,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Marion,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Marshall,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Mobile,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Monroe,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Montgomery,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Morgan,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Perry,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Pickens,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Pike,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Randolph,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Russell,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,St. Clair,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Shelby,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Sumter,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Talladega,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Tallapoosa,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Tuscaloosa,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Walker,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Washington,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Wilcox,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AL,Winston,18.2,16.8,16.3,-1.4,-0.5,decr,17.3,16.7,18.1,13.9
AK,Aleutians East,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Aleutians West,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Anchorage,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Bethel,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Bristol Bay,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Denali,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Dillingham,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Fairbanks North Star,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Haines,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Hoonah-Angoon,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Juneau,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Kenai Peninsula,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Ketchikan Gateway,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Kodiak Island,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Lake and Peninsula,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Matanuska-Susitna,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Nome,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,North Slope,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
