County,Total Acres in Agricultural Districts
ALBANY,75072
ALLEGANY,127159
BROOME,155974
CATTARAUGUS,239537
CAYUGA,360003
CHAUTAUQUA,391856
CHEMUNG,46315
CHENANGO,308185
CLINTON,166323
COLUMBIA,181219
CORTLAND,121276
DELAWARE,250428
DUTCHESS,196787
ERIE,260184
ESSEX,65911
FRANKLIN,118163
FULTON,27414
GENESEE,201948
GREENE,40916
HERKIMER,53832
JEFFERSON,242246
LEWIS,246368
LIVINGSTON,201773
MADISON,158212
MONROE,140114
MONTGOMERY,177062
NIAGARA,184489
ONEIDA,172754
ONONDAGA,198533
ONTARIO,256478
ORANGE,146006
ORLEANS,115519
OSWEGO,95913
OTSEGO,190074
PUTNAM,5113
RENSSELAER,159308
SARATOGA,116316
SCHENECTADY,19515
SCHOHARIE,144201
SCHUYLER,93428
SENECA,151833
STEUBEN,387651
ST. LAWRENCE,654353
SUFFOLK,19982
SULLIVAN,159692
TIOGA,106538
TOMPKINS,167957
ULSTER,69234
WASHINGTON,290975
WAYNE,293672
WESTCHESTER,8653
WYOMING,298384
YATES,143326
