Project ID,Project Town/City,Project ZIP Code,Electricity Utility Name,Natural Gas Utility Name,Audit Completed Date,NYSERDA Clean Energy Fund (CEF) Funding Amount (dollars),Georeference
434,Westtown,10998,Orange and Rockland Utilities,,9/7/2017,2500,POINT (-74.544095 41.329219)
428,Jeffersonville,12748,NYS Electric and Gas,,9/6/2017,2500,POINT (-74.92253 41.778955)
388,Springville,14141,National Grid,,9/6/2017,2500,POINT (-78.66726 42.50866)
453,Delhi,13753,NYS Electric and Gas,,9/6/2017,2500,POINT (-74.92022 42.27484)
407,Hobart,13788,NYS Electric and Gas,,9/6/2017,2500,POINT (-74.665813 42.355307)
319,Granville,12832,NYS Electric and Gas,,9/6/2017,2365,POINT (-73.26576 43.40466)
32,Johnstown,12095,National Grid,,9/6/2016,2500,POINT (-74.36846 43.00655)
15,Leonardsville,13364,NYS Electric and Gas,,9/6/2016,2500,POINT (-75.25273 42.80897)
856,Lyndonville,14098,National Grid,,9/5/2018,2500,POINT (-78.38875 43.3222)
755,Lyons,14489,NYS Electric and Gas,,9/5/2018,2500,POINT (-76.993653 43.084482)
427,Fly Creek,13337,NYS Electric and Gas,,9/5/2017,2500,POINT (-74.984785 42.741858)
406,Callicoon Center,12758,NYS Electric and Gas,,9/5/2017,2500,POINT (-74.94633 41.83883)
425,Schodack Landing,12156,National Grid,,9/5/2017,2500,POINT (-73.77006 42.47918)
777,Avoca,14809,NYS Electric and Gas,,9/4/2018,2500,POINT (-77.440737 42.418947)
651,Medina,14103,National Grid,,9/4/2018,2500,POINT (-78.38691 43.22012)
53,Romulus,13148,NYS Electric and Gas,,9/30/2016,1500,POINT (-76.8329 42.7522)
1299,Basom,14013,National Grid,,9/29/2021,5994,POINT (-78.39182 43.06602)
1212,Warsaw,14569,NYS Electric and Gas,,9/29/2020,2370,POINT (-78.1332 42.74022)
1039,Black River,13612,National Grid,,9/29/2019,2500,POINT (-75.79691 44.00616)
1020,Kirkville,13082,National Grid,,9/29/2019,2500,POINT (-75.95207 43.07563)
983,Newark Valley,13811,NYS Electric and Gas,,9/29/2019,2500,POINT (-76.169095 42.23117)
403,Granville,12832,NYS Electric and Gas,,9/29/2017,2200,POINT (-73.26576 43.40466)
1273,Constable,12926,National Grid,,9/28/2020,2500,POINT (-74.29712 44.92934)
1040,Byron,14422,National Grid,,9/28/2019,2500,POINT (-78.06382 43.07967)
1035,Turin,13473,National Grid,,9/28/2019,2500,POINT (-75.41 43.62556)
1015,Burt,14028,National Grid,,9/28/2019,5997,POINT (-78.71228 43.31645)
236,Chase Mills,13621,National Grid,,9/28/2017,2500,POINT (-75.08 44.84809)
675,Saratoga Springs,12866,National Grid,,9/27/2018,2500,POINT (-73.78441 43.08412)
36,Sharon Springs,13459,National Grid,,9/27/2016,2500,POINT (-74.61722 42.79531)
75,Burke,12917,NYS Electric and Gas,,9/27/2016,2500,POINT (-74.16902 44.90356)
86,New Berlin,13411,NYS Electric and Gas,,9/27/2016,2500,POINT (-75.315689 42.636759)
876,Johnstown,12095,National Grid,,9/26/2018,2500,POINT (-74.36846 43.00655)
868,Palatine Bridge,13428,National Grid,,9/26/2018,2500,POINT (-74.57371 42.91385)
637,LeRoy,14482,National Grid,,9/26/2018,4535,POINT (-77.99195 42.97768)
95,Manlius,13104,National Grid,,9/26/2017,6000,POINT (-75.9804 43.00234)
391,Ashville,14710,National Grid,,9/26/2017,2500,POINT (-79.37662 42.09658)
508,Goshen,10924,Orange and Rockland Utilities,,9/25/2017,2500,POINT (-74.343148 41.383219)
489,New Woodstock,13122,National Grid,,9/25/2017,2500,POINT (-75.85439 42.84827)
461,Montgomery,12549,Central Hudson Gas and Electric,,9/25/2017,2500,POINT (-74.244699 41.525344)
451,Memphis,13112,National Grid,,9/25/2017,2500,POINT (-76.37731 43.08348)
455,Jordan,13080,NYS Electric and Gas,,9/25/2017,2500,POINT (-76.47505 43.080792)
1000,Pine Bush,12566,Orange and Rockland Utilities,,9/24/2019,2500,POINT (-74.331639 41.624382)
824,Middleburgh,12122,National Grid,,9/24/2018,2500,POINT (-74.33441 42.59808)
439,Himrod,14842,NYS Electric and Gas,,9/24/2017,2500,POINT (-76.956238 42.594731)
394,Erieville,13061,National Grid,,9/24/2017,2090,POINT (-75.77011 42.85361)
409,Brooktondale,14817,NYS Electric and Gas,,9/24/2017,2500,POINT (-76.348898 42.366064)
1022,Conastota,13032,National Grid,,9/23/2019,2500,POINT (-75.75489 43.08027)
711,Argyle,12809,National Grid,,9/23/2018,2845,POINT (-73.49067 43.23541)
732,Sharon Springs,13459,National Grid,,9/23/2018,2500,POINT (-74.61722 42.79531)
879,Middleburgh,12122,National Grid,,9/23/2018,2500,POINT (-74.33441 42.59808)
990,Au Sable Forks,12912,NYS Electric and Gas,,9/21/2019,5072,POINT (-73.67684 44.44009)
462,Montgomery,12549,NYS Electric and Gas,,9/20/2017,2500,POINT (-74.244699 41.525344)
452,Oakfield,14125,National Grid,,9/20/2017,2500,POINT (-78.27071 43.06599)
412,Albion,14411,National Grid,,9/20/2017,2500,POINT (-78.19375 43.24607)
