County,Agricultural District Number,Creation Date,Anniversary Date,Towns Affected,Total Acres in Agricultural Districts
ALBANY,1,07/29/1974,07/29/2030,"BERNE, KNOX",29433
ALBANY,2,02/13/1977,02/13/2025,"RENSSELAERVILLE, WESTERLO",18707
ALBANY,3,02/22/1977,02/22/2027,"BETHLEHEM, COEYMANS, COLONIE,  GUILDERLAND, NEW SCOTLAND,  and CITY of COHOES",26932
ALLEGANY,1,04/05/1976,04/05/2024,"ALLEN, BELFAST, BIRDSALL, CANEADEA, CENTERVILLE, GRANGER, GROVE, HUME, NEW HUDSON,and RUSHFORD",55204
ALLEGANY,2,06/10/1982,06/10/2030,"ALLEN, ALMOND, AMITY, ANDOVER, ANGELICA, BELFAST, BIRDSALL, CLARKSVILLE, CUBA, FRIENDSHIP, SCIO, WARD, WEST ALMOND, WELLSVILLE, WIRT",35260
ALLEGANY,3,10/07/1979,10/07/2027,"ALMOND, BIRDSALL, BURNS, GROVE, WEST ALMOND, VILLAGE of CANASERAGA",16669
ALLEGANY,4,08/07/1977,08/07/2025,"ALFRED, ALMA, ANDOVER, BOLIVAR, GENESEE, INDEPENDENCE, WARD, WELLSVILLE, WILLING",20026
BROOME,5,01/11/1979,01/11/2027,ALL TOWNS,155974
CATTARAUGUS,5,07/10/1977,07/10/2025,ALL TOWNS,239537
CAYUGA,5,03/27/1980,03/27/2028,ALL TOWNS,360003
CHAUTAUQUA,1,10/11/1972,01/05/2029,"DUNKIRK,HANOVER, POMFRET, SHERIDAN, VILLAGE of FREDONIA, PORTLAND, RIPLEY, WESTFIELD",113503
CHAUTAUQUA,7,08/09/1974,09/13/2023,"CLYMER, FRENCH CREEK, HARMONY, MINA, SHERMAN, NORTH HARMONY, V. of SHERMAN & PANAMA",94447
CHAUTAUQUA,8,08/09/1974,02/24/2025,"BUSTI, CARROLL, KIANTONE, CHAUTAUQUA, ELLERY,  ELLICOTT, POLAND, STOCKTON",99092
CHAUTAUQUA,10,06/13/1975,02/06/2027,"ARKWRIGHT, CHERRY CREEK,CHARLOTTE, GERRY,  ELLINGTON, VILLENOVA, V. of CHERRY CREEK",84814
CHEMUNG,1,07/12/1976,12/15/2025,ALL TOWNS,46315
CHENANGO,1A,04/30/1980,04/30/2028,"AFTON, BAINBRIDGE, COVENTRY,GREENE, GUILFORD, NORWICH,  OXFORD AND SMITHVILLE                 VILLAGES of AFTON, BAINBRIDGE, GREENE, NORWICH and OXFORD",167035
CHENANGO,2A,04/12/1982,04/12/2030,"GERMAN, LINCKLAEN, MCDONOUGH, OTSELIC, PHARSALIA, PITCHER",46011
CHENANGO,3A,01/10/1977,01/10/2025,"SMYRNA, SHERBURNE, NEW BERLIN, NORTH NORWICH, COLUMBUS, PLYMOUTH, PRESTON",95139
CLINTON,7C,04/25/1984,04/25/2024,ALL TOWNS,166323
COLUMBIA,1,11/03/1973,11/03/2013,"ANCRAM, AUSTERLITZ, COPAKE, GALLATIN, HILLSDALE, TAGHKANIC",46899
COLUMBIA,2,11/03/1973,11/03/2013,"KINDERHOOK, STUYVESANT and VILLAGES",17347
COLUMBIA,3,05/07/1974,05/07/2014,"CLAVERACK, GHENT, GREENPORT",15787
COLUMBIA,4,06/04/1974,06/04/2014,"CLERMONT, TAGHKANIC, GERMANTOWN, LIVINGSTON, GALLATIN",42902
COLUMBIA,5,06/18/1975,06/18/2015,"STOCKPORT, STUYVESANT",1483
COLUMBIA,6,06/18/1975,06/18/2015,"COPAKE, TAGHKANIC, CLAVERACK, HILLSDALE",3888
COLUMBIA,7,03/03/1976,03/03/2016,GREENPORT,2461
COLUMBIA,8,03/03/1976,03/03/2016,"AUSTERLITZ, HILLSDALE, GHENT",6493
COLUMBIA,9,07/17/1976,07/17/2016,"NEW LEBANON, CANAAN",3559
COLUMBIA,10,07/22/1976,07/22/2016,"AUSTERLITZ, CANAAN, STOCKPORT, KINDERHOOK, GHENT, CHATHAM, STUYVESANT",40400
CORTLAND,1,04/25/1973,04/25/2029,ALL TOWNS,121276
DELAWARE,1,10/23/1973,10/23/2029,"HARPERSFIELD, KORTRIGHT, ROXBURY, STAMFORD",58969
DELAWARE,2,08/11/1974,08/11/2030,"DAVENPORT, DELHI, FRANKLIN, HAMDEN, MEREDITH, WALTON",60873
DELAWARE,3,07/10/1974,07/10/2030,"ANDES, BOVINA, COLCHESTER, DELHI, MIDDLETOWN, ROXBURY",28424
DELAWARE,4,11/20/1974,11/20/2030,"DAVENPORT, DELHI, KORTRIGHT, MEREDITH",34784
DELAWARE,6,08/04/1975,08/04/2023,"COLCHESTER, HAMDEN, HANCOCK",13472
DELAWARE,12,04/12/1978,04/12/2026,"DEPOSIT, MASONVILLE,  SIDNEY, TOMPKINS, WALTON",33317
DELAWARE,14,11/05/1978,11/05/2026,"FRANKLIN,   MEREDITH",11437
DELAWARE,17,03/12/1979,03/12/2019,"DAVENPORT, HAPPERSFIELD, KORTRIGHT",9152
DUTCHESS,20,03/12/1984,03/12/2024,"CLINTON, HYDE PARK, MILAN, RED HOOK, RHINEBECK, PLEASANT VALLEY",42242
DUTCHESS,21,03/12/1984,03/12/2024,"PINE PLAINS, NORTHEAST, STANFORD, WASHINGTON, AMENIA,",97837
DUTCHESS,22,03/12/1984,03/12/2024,"POUGHKEEPSIE, LAGRANGE, WAPPINGER, EAST FISHKILL, FISHKILL",18032
DUTCHESS,23,03/12/1984,03/12/2024,"BEEKMAN, DOVER, UNIONVALE, PAWLING",38676
ERIE,1,11/18/1972,11/18/2020,"ALDEN, CLARENCE, NEWSTEAD",16538
ERIE,5 Cen,12/04/1973,12/04/2029,"AURORA, ELMA, ORCHARD PARK, WEST SENECA, MARILLA,  WALES",43155
ERIE,8C SW,06/21/1976,03/17/2024,"BOSTON, BRANT, COLLINS, EDEN, EVANS, HAMBURG, ORCHARD PARK, NORTH COLLINS",74173
ERIE,14,04/09/1980,04/09/2020,"CLARENCE, NEWSTEAD",29879
ERIE,SE 15,12/21/1981,08/09/2025,"BOSTON, COLDEN, COLLINS, CONCORD,  HOLLAND, NORTH COLLINS, SARDINIA , WALES",85954
ERIE,16,04/25/1983,04/25/2023,"ALDEN, LANCASTER",9081
ERIE,17,04/25/1991,04/25/2023,"AMHERST, GRAND ISLAND",1404
ESSEX,1,07/07/1992,07/07/2024,ALL TOWNS,65911
FRANKLIN,1,09/12/1988,09/12/2028,ALL TOWNS,118163
FULTON,1,08/07/1977,08/07/2025,"BROADALBIN, EPHRATAH, MAYFIELD, JOHNSTOWN, OPPENHEIM, PERTH",27414
GENESEE,1,06/26/1975,11/22/2023,"ALEXANDER, BATAVIA, BETHANY, DARIEN, PEMBROKE AND STAFFORD",69194
GENESEE,2,01/20/1976,11/22/2025,"ALABAMA, PEMBROKE, OAKFIELD, BATAVIA, BYRON, ELBA",57521
GENESEE,3,08/14/1976,11/22/2027,"STAFFORD, LEROY, BERGEN, PAVILION",42903
GENESEE,4,02/13/1981,11/22/2029,"BERGEN, BYRON, ELBA, LEROY, STAFFORD",32330
GREENE,124,06/18/1980,06/18/2028,ALL TOWNS,40916
HERKIMER,1,05/28/1973,01/30/2027,ALL TOWNS,53832
JEFFERSON,1,04/28/1989,04/21/2029,"ADAMS, CHAMPION, HOUNSFIELD,  LORRAINE, RODMAN, RUTLAND,  WATERTOWN, WILNA, WORTH",52492
