StateFIPS,State,WIC_PART_2012,WIC_PART_2013,WIC_PART_2014,WIC_PART_2015,WIC_PART_2016,WIC_PART_2017,WIC_PART_2018,NSLP_PART_2012,NSLP_PART_2013,NSLP_PART_2014,NSLP_PART_2015,NSLP_PART_2016,NSLP_PART_2017,NSLP_PART_2018,SBP_PART_2012,SBP_PART_2013,SBP_PART_2014,SBP_PART_2015,SBP_PART_2016,SBP_PART_2017,SBP_PART_2018,CACFP_PART_2012,CACFP_PART_2013,CACFP_PART_2014,CACFP_PART_2015,CACFP_PART_2016,CACFP_PART_2017,CACFP_PART_2018,SFSP_PART_2012,SFSP_PART_2013,SFSP_PART_2014,SFSP_PART_2015,SFSP_PART_2016,SFSP_PART_2017,SFSP_PART_2018,State_Population_2012,State_Population_2013,State_Population_2014,State_Population_2015,State_Population_2016,State_Population_2017,State_Population_2018
1,Alabama,"141,900","139,001","131,046","132,133","129,160","123,993","120,605","562,959","539,664","531,099","531,305","525,931","511,643","499,631","224,490","224,173","236,580","254,270","266,952","271,324","267,372","42,904","41,863","45,039","51,264","59,448","61,362","65,638","26,077","30,308","42,484","49,715","48,691","51,622","51,222","4,815,564","4,830,460","4,842,481","4,853,160","4,864,745","4,875,120","4,887,871"
2,Alaska,"24,969","23,055","19,605","19,682","19,121","18,188","17,092","53,920","52,495","51,003","53,617","52,480","53,578","53,653","20,759","20,741","21,045","25,111","25,979","26,769","27,001","10,541","10,963","11,430","10,787","10,039","10,083","9,547","4,661","5,078","6,670","5,850","4,688","4,959","4,266","730,399","737,045","736,307","737,547","741,504","739,786","737,438"
4,Arizona,"193,214","182,501","173,020","167,072","163,998","153,510","149,513","662,440","646,767","644,173","647,426","641,045","638,136","627,716","274,596","289,520","300,355","308,742","315,992","314,726","313,831","41,671","42,945","40,344","42,552","42,618","42,285","49,678","27,554","23,688","23,209","14,763","13,924","12,301","14,701","6,556,629","6,634,999","6,733,840","6,833,596","6,945,452","7,048,876","7,171,646"
5,Arkansas,"94,293","89,777","83,289","84,220","80,555","76,519","73,607","348,909","332,497","327,469","320,921","317,039","314,201","311,041","162,018","166,376","172,605","180,121","183,707","184,851","189,762","55,787","67,630","76,841","67,985","66,903","63,450","57,043","26,217","41,946","45,837","31,081","35,767","23,544","18,211","2,952,109","2,959,549","2,967,726","2,978,407","2,990,410","3,002,997","3,013,825"
6,California,"1,472,468","1,431,881","1,348,939","1,265,005","1,174,875","1,080,241","1,009,492","3,355,494","3,294,580","3,280,733","3,271,744","3,251,959","3,215,762","3,177,216","1,406,620","1,517,341","1,645,890","1,691,159","1,722,909","1,727,064","1,706,654","362,931","451,422","511,863","562,667","595,088","617,882","624,624","104,384","114,689","115,912","128,025","123,477","152,251","144,780","37,960,782","38,280,824","38,625,139","38,953,142","39,209,127","39,399,349","39,557,045"
8,Colorado,"103,769","96,874","91,991","90,954","86,999","84,582","85,258","389,955","375,033","372,675","378,229","376,744","368,668","367,376","142,956","155,733","168,992","185,014","187,318","183,179","179,740","32,550","32,507","31,817","43,320","43,663","43,823","42,452","16,646","17,933","19,076","20,180","19,909","27,258","25,979","5,193,721","5,270,482","5,351,218","5,452,107","5,540,921","5,615,902","5,695,564"
9,Connecticut,"56,584","54,248","52,561","51,295","49,155","47,830","47,297","296,699","280,253","283,110","288,268","288,156","283,198","278,108","86,529","87,971","93,277","101,003","108,076","108,240","107,818","20,326","20,780","20,480","21,873","22,722","22,712","24,298","10,185","12,171","17,274","28,276","28,038","32,655","31,519","3,594,395","3,594,915","3,594,783","3,587,509","3,578,674","3,573,880","3,572,665"
10,Delaware,"22,214","20,797","19,873","18,998","18,097","17,162","16,797","96,040","94,571","94,943","97,995","98,528","98,977","97,980","38,624","39,522","41,137","47,980","51,378","52,746","52,919","18,367","19,016","18,886","19,987","20,583","22,323","23,907","14,366","8,190","9,935","10,425","11,906","15,422","14,840","915,188","923,638","932,596","941,413","949,216","957,078","967,171"
11,District of Columbia,"16,474","15,674","14,501","14,526","14,363","13,580","12,466","47,735","50,569","50,809","52,668","53,886","52,711","56,104","33,281","34,873","34,874","34,499","35,798","35,029","37,501","7,828","4,990","5,765","5,581","17,594","30,604","28,545","36,158","34,778","39,449","28,713","28,463","15,494","12,605","634,725","650,431","662,513","675,254","686,575","695,691","702,455"
12,Florida,"495,405","483,565","466,736","483,811","481,520","468,867","450,624","1,653,680","1,638,775","1,651,221","1,675,730","1,704,153","1,715,885","1,752,674","711,285","750,969","773,081","786,513","832,401","855,037","866,111","210,497","223,791","248,434","269,541","299,779","302,110","311,957","137,796","145,389","155,570","163,418","251,595","229,220","212,179","19,326,230","19,563,166","19,860,330","20,224,249","20,629,982","20,976,812","21,299,325"
