FIPS,State_x,County_x,"Grocery stores (% change), 2011-16","Grocery stores/1,000 pop, 2011","Grocery stores/1,000 pop, 2016","Grocery stores/1,000 pop (% change), 2011-16","Supercenters & club stores (% change), 2011-16","Supercenters & club stores/1,000 pop, 2011","Supercenters & club stores/1,000 pop, 2016","Supercenters & club stores/1,000 pop (% change), 2011-16","Convenience stores (% change), 2011-16","Convenience stores/1,000 pop, 2011","Convenience stores/1,000 pop, 2016","Convenience stores/1,000 pop (% change), 2011-16","Specialized food stores (% change), 2011-16","Specialized food stores/1,000 pop, 2011","Specialized food stores/1,000 pop, 2016","Specialized food stores/1,000 pop (% change), 2011-16",State_y,County_y,"Fast-food restaurants (% change), 2011-16","Fast-food restaurants/1,000 pop, 2011","Fast-food restaurants/1,000 pop, 2016","Fast-food restaurants/1,000 pop (% change), 2011-16","Full-service restaurants (% change), 2011-16","Full-service restaurants/1,000 pop, 2011","Full-service restaurants/1,000 pop, 2016","Full-service restaurants/1,000 pop (% change), 2011-16","Expenditures per capita, fast food, 2007*","Expenditures per capita, fast food, 2012*","Expenditures per capita, restaurants, 2007*","Expenditures per capita, restaurants, 2012*",State,County,"Farms with direct sales (% change), 2007 - 12","Farms with direct sales (%), 2007","Farms with direct sales (%), 2012","Direct farm sales (%), 2007","Direct farm sales (%), 2012","Direct farm sales (% change), 2007 - 12","Direct farm sales per capita, 2007","Direct farm sales per capita, 2012","Direct farm sales per capita (% change), 2007 - 12","Farmers' markets (% change), 2013-18","Farmers' markets/1,000 pop, 2013","Farmers' markets/1,000 pop, 2018","Farmers' markets/1,000 pop (% change), 2013-18","Farms with vegetables harvested for fresh market, 2007","Farms with vegetables harvested for fresh market, 2012","Farms with vegetables harvested for fresh market (% change), 2007 - 12","Vegetable acres harvested for fresh market, 2007","Vegetable acres harvested for fresh market, 2012","Vegetable acres harvested for fresh market (% change), 2007 - 12","Vegetable acres harvested for fresh market/1,000 pop, 2007","Vegetable acres harvested for fresh market/1,000 pop, 2012","Vegetable acres harvested for fresh market/1,000 pop (% change), 2007 - 12","CSA farms (% change), 2007 - 12","Agritourism operations (% change), 2007 - 12","Agritourism receipts (% change), 2007 - 12","Farm to school program, 2013","Farm to school program, 2015"
1001,AL,Autauga,-40.0,0.090581351,0.0542711,-40.0857484,0.0,0.0181163,0.0180904,-0.142913998,0.0,0.561604377,0.560801766,-0.142913998,0.0,0.0181163,0.0180904,-0.142913998,AL,Autauga,29.41176471,0.615953188,0.7959767,29.22681718,-3.125,0.579720647,0.560801766,-3.263447936,649.511367,674.8027204,484.381507,512.2809873,AL,Autauga,104.0,6.024096386,13.11053985,0.596374046,1.554691838,208.0,1.908214865,5.582238333,192.5371998,0.0,0.018277192,0.017985288,-1.597096682,34.0,43.0,26.47058824,,,,,,,50.0,42.85714286,-35.96491228,,0.0
1003,AL,Baldwin,7.407407407,0.14474573,0.139752975,-3.449328302,16.66666667,0.0321657,0.0337335,4.874005465,10.28037383,0.573621967,0.568650034,-0.866761189,35.0,0.107219059,0.130114838,21.35420632,AL,Baldwin,28.92561984,0.648675309,0.751774622,15.89382422,9.259259259,1.15796584,1.137300069,-1.784661549,649.511367,674.8027204,484.381507,512.2809873,AL,Baldwin,28.75,7.023705004,10.41456016,0.712634055,0.478010062,-9.370629371,4.147235563,3.403432845,-17.93490402,0.0,0.02052482,0.018346772,-10.61178017,51.0,50.0,-1.960784314,,,,,,,-46.15384615,-11.11111111,64.51612903,0.0,1.0
1005,AL,Barbour,-33.33333333,0.219370407,0.155195158,-29.25428727,,0.0,0.0387988,,-13.63636364,0.804358159,0.737177,-8.352144868,-33.33333333,0.109685203,0.077597579,-29.25428727,AL,Barbour,21.05263158,0.694672955,0.892372158,28.45932049,-17.64705882,0.621549486,0.543183053,-12.60823721,649.511367,674.8027204,484.381507,512.2809873,AL,Barbour,-27.77777778,2.889245586,2.276707531,0.015403358,0.012457358,18.18181818,0.39629643,0.47866269,20.78400262,33.33333206,0.111342043,0.160765246,44.3886261,11.0,7.0,-36.36363636,30.0,41.0,36.66666667,1.080808445,1.509628484,39.67585944,-100.0,18.51851852,86.50306748,1.0,0.0
1007,AL,Bibb,-16.66666667,0.26379424,0.220916361,-16.25428946,0.0,0.0439657,0.0441833,0.494852649,-21.05263158,0.835348428,0.662749083,-20.66195844,0.0,0.0,0.0,0.0,AL,Bibb,16.66666667,0.26379424,0.309282905,17.24399476,40.0,0.219828534,0.309282905,40.69279371,649.511367,674.8027204,484.381507,512.2809873,AL,Bibb,8.333333333,5.687203791,6.878306878,,,-56.52173913,2.050093591,0.883314195,-56.91346977,0.0,0.044412863,0.044642858,0.517858326,10.0,10.0,0.0,,12.0,,,0.529988517,,50.0,20.0,,0.0,0.0
1009,AL,Blount,-28.57142857,0.121608005,0.086862861,-28.57142857,0.0,0.0173726,0.0173726,0.0,-10.0,0.521177165,0.469059449,-10.0,-100.0,0.0173726,0.0,-100.0,AL,Blount,15.0,0.347451444,0.39956916,15.0,-20.0,0.260588583,0.208470866,-20.0,649.511367,674.8027204,484.381507,512.2809873,AL,Blount,4.761904762,5.940594059,7.0910556,0.267716732,0.277791808,15.38461538,7.62802276,8.56757131,12.31706538,0.0,0.017357796,0.017289074,-0.395915985,65.0,59.0,-9.230769231,581.0,654.0,12.56454389,10.33072546,11.31957906,9.571966705,-42.85714286,-20.0,-89.76109215,1.0,0.0
1011,AL,Bullock,50.0,0.18735363,0.2873288,53.36174696,0.0,0.0,0.0,0.0,200.0,0.18735363,0.5746576,206.7234939,-100.0,0.093676815,0.0,-100.0,AL,Bullock,-25.0,0.37470726,0.2873288,-23.31912652,-50.0,0.18735363,0.095776267,-48.87941768,649.511367,674.8027204,484.381507,512.2809873,AL,Bullock,-7.692307692,4.693140794,4.395604396,0.10295127,0.106326422,38.0952381,3.814367451,5.468602678,43.36853353,0.0,0.094777748,0.098638788,4.073782921,17.0,8.0,-52.94117647,,70.0,,,6.600037715,,-100.0,-27.77777778,301.7241379,0.0,0.0
1013,AL,Butler,0.0,0.143678161,0.15026296,4.583020285,0.0,0.0478927,0.0500877,4.583020285,0.0,1.053639847,1.101928375,4.583020285,0.0,0.0,0.0,0.0,AL,Butler,5.882352941,0.814176245,0.901577761,10.73496266,-35.71428571,0.670498084,0.450788881,-32.76805839,649.511367,674.8027204,484.381507,512.2809873,AL,Butler,181.8181818,2.244897959,7.616707617,0.010500121,0.118930893,1210.0,0.478606298,6.419051352,1241.19659,0.0,0.098164327,0.101626016,3.526422262,19.0,23.0,21.05263158,,100.0,,,4.9000392,,66.66666667,0.0,-24.74226804,0.0,0.0
1015,AL,Calhoun,12.5,0.20376109,0.234823448,15.24449904,33.33333333,0.0254701,0.0347887,36.58607294,-3.448275862,0.738633952,0.730561837,-1.092843733,-50.0,0.0169801,0.0086972,-48.78022265,AL,Calhoun,4.395604396,0.772594133,0.826230649,6.942392275,-3.846153846,0.662223543,0.652287354,-1.500428168,649.511367,674.8027204,484.381507,512.2809873,AL,Calhoun,42.85714286,4.761904762,8.445945946,0.11583962,0.308498317,256.25,0.688402991,2.42995754,252.9847446,-33.33333206,0.025742013,0.017501334,-32.01256561,25.0,15.0,-40.0,38.0,,,0.326991421,,,-33.33333333,125.0,2800.0,0.0,0.0
1017,AL,Chambers,-12.5,0.23507978,0.207610404,-11.68512916,0.0,0.029385,0.0296586,0.931280956,-15.38461539,0.764009286,0.652489842,-14.59660842,0.0,0.029385,0.0296586,0.931280956,AL,Chambers,26.08695652,0.675854368,0.860100246,27.26118034,0.0,0.528929505,0.533855325,0.931280956,649.511367,674.8027204,484.381507,512.2809873,AL,Chambers,46.66666667,4.464285714,7.3089701,1.028553884,0.803357314,0.0,1.922690619,1.966250917,2.265590609,0.0,0.029288581,0.029748624,1.570726633,6.0,8.0,33.33333333,39.0,,,1.119178122,,,,-22.22222222,-70.78651685,0.0,0.0
1019,AL,Cherokee,25.0,0.153887585,0.19405418,26.10125747,0.0,0.0384719,0.0388108,0.881005977,5.882352941,0.654022237,0.698595048,6.815182799,-100.0,0.0384719,0.0,-100.0,AL,Cherokee,-11.76470588,0.654022237,0.58216254,-10.98734767,71.42857143,0.269303274,0.465730032,72.93886739,649.511367,674.8027204,484.381507,512.2809873,AL,Cherokee,-39.13043478,3.516819572,2.495543672,0.0899985,0.025832257,-42.59259259,2.113254804,1.191253891,-43.62942468,0.0,0.038424592,0.038414259,-0.026894119,16.0,4.0,-75.0,,,,,,,-50.0,-23.07692308,-85.29411765,1.0,1.0
