FIPS,State,,"Household food insecurity (%, three-year average), 2008-10*","Household food insecurity (%, three-year average), 2009-11*","Household food insecurity (%, three-year average), 2011-13*","Household food insecurity (%, three-year average), 2012-14*","Household food insecurity (%, three-year average), 2014-16*","Household food insecurity (%, three-year average), 2015-17*","Household food insecurity (change %),2009-11 to 2012-15*","Household food insecurity (change %),2012-14 to 2015-17*","Household food insecurity (%, six-year average), 2009-14*","Household food insecurity (%, six-year average), 2012-17*","Household food insecurity (change %),2009-14 to 2015-17*","Household food insecurity (change %),2009-11 to 2012-17*","Model-Household food insecurity (change %),2009-14 to 2015-17*","Model-Household food insecurity (change %),2009-11 to 2012-17*","Model-Household food insecurity (change %),2012-14 to 2015-17*","BI_Model-Household food insecurity (change %),2009-14 to 2015-17*","BI_Model-Household food insecurity (change %),2009-11 to 2012-17*","BI_Model-Household food insecurity (change %),2012-14 to 2015-17*"
FIPS,STATE,COUNTY,FOODINSEC_08_10,FOODINSEC_09_11,FOODINSEC_11_13,FOODINSEC_12_14,FOODINSEC_14_16,FOODINSEC_15_17,CH_FOODINSEC_11_14,CH_FOODINSEC_14_17,FOODINSEC_09_14_AVG,FOODINSEC_12_17_AVG,CH_FOODINSEC_09_14_TO_15_17,CH_FOODINSEC_09_11_TO_12_17,Model_answer_09-14_15-17,Model_answer_09-11_12-17,Model_answer_12-14_15-17,BI_Model_answer_09-14_15-17,BI_Model_answer_09-11_12-17,BI_Model_answer_12-14_15-17
1001,AL,Autauga,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1003,AL,Baldwin,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1005,AL,Barbour,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1007,AL,Bibb,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1009,AL,Blount,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1011,AL,Bullock,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1013,AL,Butler,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1015,AL,Calhoun,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1017,AL,Chambers,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1019,AL,Cherokee,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1021,AL,Chilton,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1023,AL,Choctaw,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1025,AL,Clarke,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1027,AL,Clay,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1029,AL,Cleburne,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1031,AL,Coffee,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1033,AL,Colbert,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1035,AL,Conecuh,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1037,AL,Coosa,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1039,AL,Covington,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1041,AL,Crenshaw,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1043,AL,Cullman,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1045,AL,Dale,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1047,AL,Dallas,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
1049,AL,DeKalb,17.3,18.2,16.7,16.8,18.1,16.3,-1.4,-0.5,17.5,16.55,-1.2,-1.65,Decrease,Decrease,decr,-1,-1,-1
