FIPS,State,County,"Fast-food restaurants/1,000 pop (% change), 2011-16","Full-service restaurants/1,000 pop (% change), 2011-16","Expenditures per capita, fast food, 2007*","Expenditures per capita, fast food, 2012*","Expenditures per capita, restaurants, 2007*","Expenditures per capita, restaurants, 2012*"
1001,AL,Autauga,29.22681718,-3.263447936,649.511367,674.8027204,484.381507,512.2809873
1003,AL,Baldwin,15.89382422,-1.784661549,649.511367,674.8027204,484.381507,512.2809873
1005,AL,Barbour,28.45932049,-12.60823721,649.511367,674.8027204,484.381507,512.2809873
1007,AL,Bibb,17.24399476,40.69279371,649.511367,674.8027204,484.381507,512.2809873
1009,AL,Blount,15,-20,649.511367,674.8027204,484.381507,512.2809873
1011,AL,Bullock,-23.31912652,-48.87941768,649.511367,674.8027204,484.381507,512.2809873
1013,AL,Butler,10.73496266,-32.76805839,649.511367,674.8027204,484.381507,512.2809873
1015,AL,Calhoun,6.942392275,-1.500428168,649.511367,674.8027204,484.381507,512.2809873
1017,AL,Chambers,27.26118034,0.931280956,649.511367,674.8027204,484.381507,512.2809873
1019,AL,Cherokee,-10.98734767,72.93886739,649.511367,674.8027204,484.381507,512.2809873
1021,AL,Chilton,4.42249818,9.16897537,649.511367,674.8027204,484.381507,512.2809873
1023,AL,Choctaw,4.268199234,21.64623244,649.511367,674.8027204,484.381507,512.2809873
1025,AL,Clarke,9.437029432,5.059548255,649.511367,674.8027204,484.381507,512.2809873
1027,AL,Clay,2.073079791,36.09743972,649.511367,674.8027204,484.381507,512.2809873
1029,AL,Cleburne,-37.26887649,-33.08680159,649.511367,674.8027204,484.381507,512.2809873
1031,AL,Coffee,9.412456368,45.36226346,649.511367,674.8027204,484.381507,512.2809873
1033,AL,Colbert,10.83738289,16.57151408,649.511367,674.8027204,484.381507,512.2809873
1035,AL,Conecuh,145.8622986,-36.77826608,649.511367,674.8027204,484.381507,512.2809873
1037,AL,Coosa,,,649.511367,674.8027204,484.381507,512.2809873
1039,AL,Covington,19.37263193,1.687797571,649.511367,674.8027204,484.381507,512.2809873
1041,AL,Crenshaw,99.87056878,-33.37647707,649.511367,674.8027204,484.381507,512.2809873
1043,AL,Cullman,18.34141448,-4.541340987,649.511367,674.8027204,484.381507,512.2809873
1045,AL,Dale,11.3279663,-8.392987731,649.511367,674.8027204,484.381507,512.2809873
1047,AL,Dallas,34.90182381,-28.05236064,649.511367,674.8027204,484.381507,512.2809873
1049,AL,DeKalb,2.761407693,-2.843759999,649.511367,674.8027204,484.381507,512.2809873
1051,AL,Elmore,20.02377216,9.423382023,649.511367,674.8027204,484.381507,512.2809873
1053,AL,Escambia,24.09750936,7.600419824,649.511367,674.8027204,484.381507,512.2809873
1055,AL,Etowah,13.61457715,11.16826994,649.511367,674.8027204,484.381507,512.2809873
1057,AL,Fayette,-10.6502197,32.55187188,649.511367,674.8027204,484.381507,512.2809873
1059,AL,Franklin,0.601703772,-4.987279771,649.511367,674.8027204,484.381507,512.2809873
1061,AL,Geneva,-8.254364432,113.0537537,649.511367,674.8027204,484.381507,512.2809873
1063,AL,Greene,,,649.511367,674.8027204,484.381507,512.2809873
1065,AL,Hale,158.6044319,-17.2465818,649.511367,674.8027204,484.381507,512.2809873
1067,AL,Henry,32.16007489,-9.634136828,649.511367,674.8027204,484.381507,512.2809873
1069,AL,Houston,25.38618399,-7.942040201,649.511367,674.8027204,484.381507,512.2809873
1071,AL,Jackson,9.050061801,-8.341542883,649.511367,674.8027204,484.381507,512.2809873
1073,AL,Jefferson,16.84228541,1.253010545,649.511367,674.8027204,484.381507,512.2809873
1075,AL,Lamar,22.90773532,-40.25318422,649.511367,674.8027204,484.381507,512.2809873
1077,AL,Lauderdale,4.732965555,0.307628982,649.511367,674.8027204,484.381507,512.2809873
1079,AL,Lawrence,-14.62295378,-14.62295378,649.511367,674.8027204,484.381507,512.2809873
1081,AL,Lee,22.84252928,-6.603736363,649.511367,674.8027204,484.381507,512.2809873
1083,AL,Limestone,19.66099871,9.46120464,649.511367,674.8027204,484.381507,512.2809873
1085,AL,Lowndes,8.680792891,8.680792891,649.511367,674.8027204,484.381507,512.2809873
1087,AL,Macon,-8.692419158,67.39723154,649.511367,674.8027204,484.381507,512.2809873
1089,AL,Madison,5.76856519,-10.71848725,649.511367,674.8027204,484.381507,512.2809873
1091,AL,Marengo,36.11235214,15.48926849,649.511367,674.8027204,484.381507,512.2809873
1093,AL,Marion,-15.38144102,26.53487302,649.511367,674.8027204,484.381507,512.2809873
1095,AL,Marshall,12.89927416,-7.200217828,649.511367,674.8027204,484.381507,512.2809873
1097,AL,Mobile,6.973625698,5.411994396,649.511367,674.8027204,484.381507,512.2809873
