FIPS,State,County,snap_participants_2012,snap_participants_2017,snap_participants_change,snap_beni_per_capita_2012,snap_beni_per_capita_2017,snap_beni_per_capita_change,snap_participants_2011,snap_participants_2016,snap_online_applications_2009,snap_online_applications_2016,snap_combined_applications_2009,snap_combined_applications_2016,school_lunch_participants_2012,school_lunch_participants_2017,school_lunch_participants_change,free_lunch_eligible_stu_2010,free_lunch_eligible_stu_2015,red_px_lunch_eligible_stu_2010,red_px_lunch_eligible_stu_2015,school_brkfast_participants_2012,school_brkfast_participants_2017,school_brkfast_participants_change,summer_food_service_chldren_2012,summer_food_service_chldren_2017,summer_food_service_chldren_change,wic_redemp_per_capita_2011,wic_redemp_per_capita_2016,wic_redemp_per_capita_change,wic_participants_2012,wic_participants_2017,wic_participants_change,wic_inf_and_children_2014,wic_inf_and_children_2016,wic_inf_and_children_change,wic_women_2014,wic_women_2016,wic_women_change
1001,AL,Autauga,18.90847619,16.50005631,-2.408419881,18.47148705,16.3546772,-11.45987797,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,36.11672052,,6.886106624,,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,15.61293221,14.62024403,-6.358115196,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
1003,AL,Baldwin,18.90847619,16.50005631,-2.408419881,15.89072227,11.47935963,-27.76061821,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,36.76193858,39.44909638,5.542339783,6.346383887,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,17.10749626,13.87383747,-18.90199852,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
1005,AL,Barbour,18.90847619,16.50005631,-2.408419881,31.11622238,29.12214661,-6.408476353,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,66.38896121,63.98508258,4.582140068,2.31752797,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,21.93405151,24.03228378,9.566095352,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
1007,AL,Bibb,18.90847619,16.50005631,-2.408419881,22.43504906,17.55779076,-21.73945999,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,53.5022779,52.2576761,9.253986333,9.060806743,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,21.48293686,22.0818119,2.787677765,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
1009,AL,Blount,18.90847619,16.50005631,-2.408419881,20.27230453,12.3779726,-38.94146347,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,43.93136026,46.62458543,8.097946592,7.89558147,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,17.11068726,13.86049461,-18.99510193,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
1011,AL,Bullock,18.90847619,16.50005631,-2.408419881,33.89244843,31.25101089,-7.793587208,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,90.12032932,,0.126662445,,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,,,,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
1013,AL,Butler,18.90847619,16.50005631,-2.408419881,32.66789246,27.97814178,-14.35584068,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,67.87410926,67.33652313,7.244655582,5.295055821,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,36.56119156,32.7559166,-10.40796185,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
1015,AL,Calhoun,18.90847619,16.50005631,-2.408419881,29.97523117,22.04634666,-26.45145416,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,50.9823921,52.74082252,7.096843461,6.127518631,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,22.09410286,20.88901329,-5.454349518,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
1017,AL,Chambers,18.90847619,16.50005631,-2.408419881,28.58197403,23.49489403,-17.79821014,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,65.13009629,65.33101045,5.7365294,5.836236934,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,11.31618977,13.21109581,16.74508858,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
1019,AL,Cherokee,18.90847619,16.50005631,-2.408419881,27.42250252,16.68471527,-39.15684509,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,50.82087724,53.38941118,9.629992649,9.797130134,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,24.97646141,18.51291275,-25.87856102,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
1021,AL,Chilton,18.90847619,16.50005631,-2.408419881,28.17595863,20.3894062,-27.63544846,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,52.30945413,55.92147746,6.820206133,5.165956348,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,21.2314949,17.61027527,-17.05588722,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
1023,AL,Choctaw,18.90847619,16.50005631,-2.408419881,31.94208908,27.88721466,-12.6944561,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,68.343697,56.78929766,8.083663086,0,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,,,,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
1025,AL,Clarke,18.90847619,16.50005631,-2.408419881,33.35056305,26.93116951,-19.24823189,84.02,86.898,0,1,0,0,68.22604311,63.12658957,-5.099453542,60.06493506,53.25443787,7.345779221,3.229783037,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,30.08889961,33.36499405,10.88805008,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857
