FIPS,State,County,Household_food_insecurity_2012_2014,Household_food_insecurity_2015_2017,change
1001,AL,Autauga,16.8,16.3,-0.5
1003,AL,Baldwin,16.8,16.3,-0.5
1005,AL,Barbour,16.8,16.3,-0.5
1007,AL,Bibb,16.8,16.3,-0.5
1009,AL,Blount,16.8,16.3,-0.5
1011,AL,Bullock,16.8,16.3,-0.5
1013,AL,Butler,16.8,16.3,-0.5
1015,AL,Calhoun,16.8,16.3,-0.5
1017,AL,Chambers,16.8,16.3,-0.5
1019,AL,Cherokee,16.8,16.3,-0.5
1021,AL,Chilton,16.8,16.3,-0.5
1023,AL,Choctaw,16.8,16.3,-0.5
1025,AL,Clarke,16.8,16.3,-0.5
1027,AL,Clay,16.8,16.3,-0.5
1029,AL,Cleburne,16.8,16.3,-0.5
1031,AL,Coffee,16.8,16.3,-0.5
1033,AL,Colbert,16.8,16.3,-0.5
1035,AL,Conecuh,16.8,16.3,-0.5
1037,AL,Coosa,16.8,16.3,-0.5
1039,AL,Covington,16.8,16.3,-0.5
1041,AL,Crenshaw,16.8,16.3,-0.5
1043,AL,Cullman,16.8,16.3,-0.5
1045,AL,Dale,16.8,16.3,-0.5
1047,AL,Dallas,16.8,16.3,-0.5
1049,AL,DeKalb,16.8,16.3,-0.5
1051,AL,Elmore,16.8,16.3,-0.5
1053,AL,Escambia,16.8,16.3,-0.5
1055,AL,Etowah,16.8,16.3,-0.5
1057,AL,Fayette,16.8,16.3,-0.5
1059,AL,Franklin,16.8,16.3,-0.5
1061,AL,Geneva,16.8,16.3,-0.5
1063,AL,Greene,16.8,16.3,-0.5
1065,AL,Hale,16.8,16.3,-0.5
1067,AL,Henry,16.8,16.3,-0.5
1069,AL,Houston,16.8,16.3,-0.5
1071,AL,Jackson,16.8,16.3,-0.5
1073,AL,Jefferson,16.8,16.3,-0.5
1075,AL,Lamar,16.8,16.3,-0.5
1077,AL,Lauderdale,16.8,16.3,-0.5
1079,AL,Lawrence,16.8,16.3,-0.5
1081,AL,Lee,16.8,16.3,-0.5
1083,AL,Limestone,16.8,16.3,-0.5
1085,AL,Lowndes,16.8,16.3,-0.5
1087,AL,Macon,16.8,16.3,-0.5
1089,AL,Madison,16.8,16.3,-0.5
1091,AL,Marengo,16.8,16.3,-0.5
1093,AL,Marion,16.8,16.3,-0.5
1095,AL,Marshall,16.8,16.3,-0.5
1097,AL,Mobile,16.8,16.3,-0.5
1099,AL,Monroe,16.8,16.3,-0.5
1101,AL,Montgomery,16.8,16.3,-0.5
1103,AL,Morgan,16.8,16.3,-0.5
1105,AL,Perry,16.8,16.3,-0.5
1107,AL,Pickens,16.8,16.3,-0.5
1109,AL,Pike,16.8,16.3,-0.5
1111,AL,Randolph,16.8,16.3,-0.5
1113,AL,Russell,16.8,16.3,-0.5
1115,AL,St. Clair,16.8,16.3,-0.5
1117,AL,Shelby,16.8,16.3,-0.5
1119,AL,Sumter,16.8,16.3,-0.5
1121,AL,Talladega,16.8,16.3,-0.5
1123,AL,Tallapoosa,16.8,16.3,-0.5
1125,AL,Tuscaloosa,16.8,16.3,-0.5
1127,AL,Walker,16.8,16.3,-0.5
1129,AL,Washington,16.8,16.3,-0.5
1131,AL,Wilcox,16.8,16.3,-0.5
1133,AL,Winston,16.8,16.3,-0.5
2013,AK,Aleutians East,12,11.6,-0.4
